OdeGam;No;No;France;Construction & Engineering;245.4;51.2;1597509;462486;17;5;2016
Lakógép;Yes;No;Hungary;Construction & Engineering;232.9;49.3;54504463;18830676;23;7;2011
Cogéclim Energies;Yes;Yes;France;Construction & Engineering;229.1;48.8;5954029;1808937;26;10;2015
Bluethink;No;No;Italy;Construction & Engineering;226.1;48.3;4546339;1394163;66;32;2009
Acyf;Yes;No;Spain;Construction & Engineering;224.0;48.0;14250042;4398116;42;20;2014
Gardeon;No;No;Slovakia;Construction & Engineering;217.6;47.0;6448696;2030706;30;20;2013
Dimaxbau;Yes;No;Germany;Construction & Engineering;210.6;45.9;3100000;998000;20;9;2016
Panel Sandwich;Yes;No;Spain;Construction & Engineering;207.0;45.3;15522412;5055493;36;11;2009
ATI Project;No;No;Italy;Construction & Engineering;200.5;44.3;18047101;6005580;4;2;2017
IHB Ingenieurdienstleistungen;No;No;Germany;Construction & Engineering;197.9;43.9;11578000;3886000;74;43;2006
Maxfel;Yes;Yes;Italy;Construction & Engineering;191.7;42.9;3711641;1272623;24;13;1984
Hasu abbruch;No;No;Germany;Construction & Engineering;188.3;42.3;4496433;1559874;18;18;2005
Scuccato S.A.;No;No;Italy;Construction & Engineering;186.2;42.0;4353000;1520989;47;20;2012
Thomas Faißt Bad Sanitär Heizung;No;No;Germany;Construction & Engineering;183.9;41.6;2681354;944543;19;6;2016
Wabra Tec GmbH;No;No;Germany;Construction & Engineering;181.4;41.2;1819862;646801;13;5;2012
dMol;No;No;Spain;Construction & Engineering;180.1;41.0;7817354;2790926;117;50;2016
Zappe Heizung + Sanitär;No;No;Germany;Construction & Engineering;177.2;40.5;3913839;1412009;25;12;2017
Ingénierie Bois Noroy;No;No;France;Construction & Engineering;176.5;40.4;1981293;716454;8;3;2013
R&K Ingenieure;Yes;No;Germany;Construction & Engineering;176.1;40.3;6484700;2348700;21;7;2016
WandNeu;No;No;Germany;Construction & Engineering;173.7;39.9;2899546;1059267;16;3;2017
Consorzio Stabile Agoraa;No;No;Italy;Construction & Engineering;172.9;39.7;21553374;7897982;8;7;2011
Highway Traffic Management;No;No;UK;Construction & Engineering;171.8;39.6;22265073;7669214;177;105;1988
Seriana Edilizia;No;No;Italy;Construction & Engineering;170.4;39.3;12238661;4526538;49;30;2013
Zimmerei Nordmann;Yes;No;Germany;Construction & Engineering;170.1;39.3;2540548;940755;12;9;2009
Maxxi Engineering;No;No;Italy;Construction & Engineering;170.0;39.2;3280424;1215015;40;21;2012
Weiser Brandschutz & Technik;Yes;Yes;Germany;Construction & Engineering;167.7;38.9;7044858;2631422;56;5;2005
Consorzio ART.E.A. Alto Vicentino;No;No;Italy;Construction & Engineering;167.1;38.7;4045366;1514712;3;2;2003
A.C.G.;No;No;Italy;Construction & Engineering;166.5;38.7;54976344;20625318;151;118;2015
UrbanTP;No;No;France;Construction & Engineering;163.5;38.1;9268184;3517698;43;16;2014
ABAO Energy;Yes;Yes;Germany;Construction & Engineering;157.3;37.0;3496243;1359000;20;15;2016
SME France;No;No;France;Construction & Engineering;152.7;36.2;2672500;1057400;15;7;2013
Onbuy;Yes;No;UK;Ecommerce;3402.3;227.2;12535527;335092;108;10;2016
